Pair	ROI	Y
P22	17Networks_LH_VisCent_Striate_1	0.2055
P23	17Networks_LH_VisCent_Striate_1	-0.9191
P24	17Networks_LH_VisCent_Striate_1	-0.3656
P25	17Networks_LH_VisCent_Striate_1	-0.1113
P26	17Networks_LH_VisCent_Striate_1	-0.0912
P27	17Networks_LH_VisCent_Striate_1	0.7909
P28	17Networks_LH_VisCent_Striate_1	0.5278
P29	17Networks_LH_VisCent_Striate_1	0.6107
P30	17Networks_LH_VisCent_Striate_1	0.1538
P31	17Networks_LH_VisCent_Striate_1	-0.6454
P32	17Networks_LH_VisCent_Striate_1	0.2640
P33	17Networks_LH_VisCent_Striate_1	-0.1594
P34	17Networks_LH_VisCent_Striate_1	-0.0558
P35	17Networks_LH_VisCent_Striate_1	0.3396
P36	17Networks_LH_VisCent_Striate_1	3.1492
P37	17Networks_LH_VisCent_Striate_1	-0.4811
P38	17Networks_LH_VisCent_Striate_1	0.2677
P39	17Networks_LH_VisCent_Striate_1	-0.4086
P40	17Networks_LH_VisCent_Striate_1	-0.8902
P41	17Networks_LH_VisCent_Striate_1	-0.2904
P42	17Networks_LH_VisCent_Striate_1	-0.2617
P43	17Networks_LH_VisCent_Striate_1	0.2553
P44	17Networks_LH_VisCent_Striate_1	-0.5116
P45	17Networks_LH_VisCent_Striate_1	0.2277
P46	17Networks_LH_VisCent_Striate_1	-0.0357
P47	17Networks_LH_VisCent_Striate_1	-4.6993
P48	17Networks_LH_VisCent_Striate_1	0.6229
P49	17Networks_LH_VisCent_Striate_1	-0.3171
P50	17Networks_LH_VisCent_Striate_1	0.1182
P51	17Networks_LH_VisCent_Striate_1	0.4574
P52	17Networks_LH_VisCent_Striate_1	0.0551
P53	17Networks_LH_VisCent_Striate_1	1.0807
P54	17Networks_LH_VisCent_Striate_1	0.5025
P55	17Networks_LH_VisCent_Striate_1	-0.7283
P56	17Networks_LH_VisCent_Striate_1	0.7125
P57	17Networks_LH_VisCent_Striate_1	-0.0135
P58	17Networks_LH_VisCent_Striate_1	-0.0352
P59	17Networks_LH_VisCent_Striate_1	0.3660
P60	17Networks_LH_VisCent_Striate_1	0.0317
P00	17Networks_LH_VisCent_ExStr_7	0.7085
P01	17Networks_LH_VisCent_ExStr_7	-0.1472
P02	17Networks_LH_VisCent_ExStr_7	0.9303
P03	17Networks_LH_VisCent_ExStr_7	0.2811
P04	17Networks_LH_VisCent_ExStr_7	0.8547
P05	17Networks_LH_VisCent_ExStr_7	0.0240
P06	17Networks_LH_VisCent_ExStr_7	-0.0687
P07	17Networks_LH_VisCent_ExStr_7	0.1120
P08	17Networks_LH_VisCent_ExStr_7	0.2061
P09	17Networks_LH_VisCent_ExStr_7	-0.3075
P10	17Networks_LH_VisCent_ExStr_7	-0.3680
P11	17Networks_LH_VisCent_ExStr_7	0.0636
P12	17Networks_LH_VisCent_ExStr_7	-0.1691
P13	17Networks_LH_VisCent_ExStr_7	-0.5630
P14	17Networks_LH_VisCent_ExStr_7	-0.1728
P15	17Networks_LH_VisCent_ExStr_7	0.5227
P16	17Networks_LH_VisCent_ExStr_7	0.1065
P17	17Networks_LH_VisCent_ExStr_7	0.0742
P18	17Networks_LH_VisCent_ExStr_7	-0.4081
P19	17Networks_LH_VisCent_ExStr_7	-0.0577
P20	17Networks_LH_VisCent_ExStr_7	-0.5726
P21	17Networks_LH_VisCent_ExStr_7	-0.0188
P22	17Networks_LH_VisCent_ExStr_7	0.1252
P23	17Networks_LH_VisCent_ExStr_7	-0.1318
P24	17Networks_LH_VisCent_ExStr_7	-0.2593
P25	17Networks_LH_VisCent_ExStr_7	-0.1782
P26	17Networks_LH_VisCent_ExStr_7	0.2501
P27	17Networks_LH_VisCent_ExStr_7	0.2219
P28	17Networks_LH_VisCent_ExStr_7	0.2523
P29	17Networks_LH_VisCent_ExStr_7	0.1416
P30	17Networks_LH_VisCent_ExStr_7	-0.3380
P31	17Networks_LH_VisCent_ExStr_7	-0.2929
P32	17Networks_LH_VisCent_ExStr_7	0.2218
P33	17Networks_LH_VisCent_ExStr_7	-0.1558
P34	17Networks_LH_VisCent_ExStr_7	0.0826
P35	17Networks_LH_VisCent_ExStr_7	0.3066
P36	17Networks_LH_VisCent_ExStr_7	0.0192
P37	17Networks_LH_VisCent_ExStr_7	-0.1351
P38	17Networks_LH_VisCent_ExStr_7	0.1964
P39	17Networks_LH_VisCent_ExStr_7	0.2501
P40	17Networks_LH_VisCent_ExStr_7	-0.4367
P41	17Networks_LH_VisCent_ExStr_7	-0.1213
P42	17Networks_LH_VisCent_ExStr_7	0.0945
P43	17Networks_LH_VisCent_ExStr_7	0.2045
P44	17Networks_LH_VisCent_ExStr_7	-0.0130
P45	17Networks_LH_VisCent_ExStr_7	-0.1366
P46	17Networks_LH_VisCent_ExStr_7	-0.3467
P47	17Networks_LH_VisCent_ExStr_7	-0.0522
P48	17Networks_LH_VisCent_ExStr_7	0.3431
P49	17Networks_LH_VisCent_ExStr_7	-0.2319
P50	17Networks_LH_VisCent_ExStr_7	-0.1414
P51	17Networks_LH_VisCent_ExStr_7	0.1207
P52	17Networks_LH_VisCent_ExStr_7	-0.0918
P53	17Networks_LH_VisCent_ExStr_7	0.1942
P54	17Networks_LH_VisCent_ExStr_7	0.4946
P55	17Networks_LH_VisCent_ExStr_7	0.1832
P56	17Networks_LH_VisCent_ExStr_7	-0.3474
P57	17Networks_LH_VisCent_ExStr_7	-0.0260
P58	17Networks_LH_VisCent_ExStr_7	0.1953
P59	17Networks_LH_VisCent_ExStr_7	-0.2518
P60	17Networks_LH_VisCent_ExStr_7	-0.4125
P00	17Networks_LH_VisCent_ExStr_8	0.4116
P01	17Networks_LH_VisCent_ExStr_8	-0.0157
P02	17Networks_LH_VisCent_ExStr_8	0.2151
P03	17Networks_LH_VisCent_ExStr_8	0.6361
